channel,section,station_id,station_name,start_date,end_date,freq_avail,geometry,pct_complete
Yolo Bypass,Yolo Bypass,toe,Toe Drain at Liberty Island near Courtland,2021-05-28,2024-01-16,hourly,"c(-143558.262673153, 38241.1735831886)",0.6969082952815829
Yolo Bypass,Yolo Bypass,yby,Yolo Bypass near Woodland,1997-03-05,1998-07-13,hourly,"c(-142873.094932537, 74752.3091963325)",0.9560963952262266
Yuba River,Yuba River,gyb,North Yuba River below Goodyears Bar,2008-07-31,2024-01-16,hourly,"c(-80582.8609839605, 168071.13600244)",0.9457124040129001
Yuba River,Yuba River,jbr,South Yuba River at Jones Bar,1998-06-18,2024-01-16,hourly,"c(-95144.1536933509, 142345.854726428)",0.9722822988823437
Yuba River,Yuba River,mry,Yuba River near Marysville,1987-07-10,2003-12-01,hourly,"c(-131628.436579367, 129928.224775649)",0.9313626357943391
Yuba River,Yuba River,nyr,North Yuba River below Bullards Bar Dam,1997-10-24,2003-11-03,hourly,"c(-98372.431163076, 153386.682702749)",0.846380962183511
Yuba River,Yuba River,nys,North Yuba River above Slate Creek near Strawberry,2007-01-24,2024-01-16,hourly,"c(-93691.9219434336, 168189.718197565)",0.9582525788592254
Yuba River,Yuba River,orh,Middle Yuba River below Our House Dam,1998-06-18,2024-01-16,hourly,"c(-85782.8808417441, 155578.388439749)",0.9722822988823437
Yuba River,Yuba River,ypb,Yuba River at Parks Bar Bridge,2010-10-01,2024-01-16,hourly,"c(-110549.946247421, 135715.572149472)",0.9998859167256876
Yuba River,Yuba River,yrs,Yuba River near Smartville,1996-07-29,2024-01-16,hourly,"c(-109889.707857401, 136214.826397829)",0.9334805861439942
